Niveau,Icône,Grade,Score/EXP requis,Score/EXP total,Élément débloqué,Tier
232,Fichier:HINF Onyx Lance Corporal 1.png,Caporal suppléant 1 (Lance Corporal 1),52 500,4 646 850,Emblème Caporal suppléant d'onyx,Onyx
233,Fichier:HINF Onyx Lance Corporal 1.png,Caporal suppléant 2 (Lance Corporal 2),65 000,4 699 350,N/A,Onyx
234,Fichier:HINF Onyx Lance Corporal 1.png,Caporal suppléant 3 (Lance Corporal 3),82 500,4 764 350,N/A,Onyx
235,Fichier:HINF Onyx Corporal 1.png,Caporal 1 (Corporal 1),57 500,4 846 850,Emblème Caporal d'onyx,Onyx
236,Fichier:HINF Onyx Corporal 2.png,Caporal 2 (Corporal 2),70 000,4 904 350,N/A,Onyx
237,Fichier:HINF Onyx Corporal 3.png,Caporal 3 (Corporal 3),90 000,4 974 350,N/A,Onyx
238,Fichier:HINF Onyx Sergeant 1.png,Sergent 1 (Sergeant 1),62 500,5 064 350,Emblème Sergent d'onyx,Onyx
239,Fichier:HINF Onyx Sergeant 2.png,Sergent 2 (Sergeant 2),77 500,5 126 850,N/A,Onyx
240,Fichier:HINF Onyx Sergeant 2.png,Sergent 3 (Sergeant 3),100 000,5 204 350,N/A,Onyx
241,Fichier:HINF Onyx Staff Sergeant 1.png,Sergent-chef 1 (Staff Sergeant 1),70 000,5 304 350,Emblème Sergent-chef d'onyx,Onyx
242,Fichier:HINF Onyx Staff Sergeant 2.png,Sergent-chef 2 (Staff Sergeant 2),82 500,5 374 350,N/A,Onyx
243,Fichier:HINF Onyx Staff Sergeant 3.png,Sergent-chef 3 (Staff Sergeant 3),100 000,5 456 850,N/A,Onyx
244,Fichier:HINF Onyx Gunnery Sergeant 1.png,Sergent d'artillerie 1 (Gunnery Sergeant 1),75 000,5 556 850,Emblème Sergent d'artillerie d'onyx,Onyx
245,Fichier:HINF Onyx Gunnery Sergeant 2.png,Sergent d'artillerie 2 (Gunnery Sergeant 2),90 000,5 631 850,N/A,Onyx
246,Fichier:HINF Onyx Gunnery Sergeant 3.png,Sergent d'artillerie 3 (Gunnery Sergeant 3),125 000,5 721 850,N/A,Onyx
247,Fichier:HINF Onyx Master Sergeant 1.png,Adjudant 1 (Master Sergeant 1),82 500,5 846 850,Emblème Adjudant d'onyx,Onyx
248,Fichier:HINF Onyx Master Sergeant 2.png,Adjudant 2 (Master Sergeant 2),100 000,5 929 350,N/A,Onyx
249,Fichier:HINF Onyx Master Sergeant 3.png,Adjudant 3 (Master Sergeant 3),125 000,6 029 350,N/A,Onyx
250,Fichier:HINF Onyx Lieutenant 1.png,Lieutenant 1 (Lieutenant 1),90 000,6 154 350,Emblème Lieutenant d'onyx,Onyx
251,Fichier:HINF Onyx Lieutenant 2.png,Lieutenant 2 (Lieutenant 2),100 000,6 244 350,N/A,Onyx
252,Fichier:HINF Onyx Lieutenant 3.png,Lieutenant 3 (Lieutenant 3),150 000,6 344 350,N/A,Onyx
253,Fichier:HINF Onyx Captain 1.png,Capitaine 1 (Captain 1),100 000,6 494 350,Emblème Capitaine d'onyx,Onyx
254,Fichier:HINF Onyx Captain 2.png,Capitaine 2 (Captain 2),125 000,6 594 350,N/A,Onyx
255,Fichier:HINF Onyx Captain 3.png,Capitaine 3 (Captain 3),150 000,6 719 350,N/A,Onyx
256,Fichier:HINF Onyx Major 1.png,Lieutenant-major 1 (Major 1),100 000,6 869 350,Emblème Lieutenant-major d'onyx,Onyx
257,Fichier:HINF Onyx Major 2.png,Lieutenant-major 2 (Major 2),125 000,6 969 350,N/A,Onyx
258,Fichier:HINF Onyx Major 3.png,Lieutenant-major 3 (Major 3),175 000,7 094 350,N/A,Onyx
259,Fichier:HINF Onyx Lieutenant Colonel 1.png,Lieutenant-colonel 1 (Lieutenant Colonel 1),125 000,7 269 350,Emblème Lieutenant-colonel d'onyx,Onyx
260,Fichier:HINF Onyx Lieutenant Colonel 2.png,Lieutenant-colonel 2 (Lieutenant Colonel 2),150 000,7 394 350,N/A,Onyx
261,Fichier:HINF Onyx Lieutenant Colonel 3.png,Lieutenant-colonel 3 (Lieutenant Colonel 3),175 000,7 544 350,N/A,Onyx
262,Fichier:HINF Onyx Colonel 1.png,Colonel 1 (Colonel 1),125 000,7 719 350,Emblème Colonel d'onyx,Onyx
263,Fichier:HINF Onyx Colonel 2.png,Colonel 2 (Colonel 2),150 000,7 844 350,N/A,Onyx
264,Fichier:HINF Onyx Colonel 3.png,Colonel 3 (Colonel 3),200 000,7 994 350,N/A,Onyx
265,Fichier:HINF Onyx Brigadier General 1.png,Général de brigade 1 (Brigadier General 1),150 000,8 194 350,Emblème Général de brigade d'onyx,Onyx
266,Fichier:HINF Onyx Brigadier General 2.png,Général de brigade 2 (Brigadier General 2),175 000,8 344 350,N/A,Onyx
267,Fichier:HINF Onyx Brigadier General 3.png,Général de brigade 3 (Brigadier General 3),225 000,8 519 350,N/A,Onyx
268,Fichier:HINF Onyx General 1.png,Général 1 (General 1),150 000,8 744 350,Emblème Général d'onyx,Onyx
269,Fichier:HINF Onyx General 2.png,Général 2 (General 2),175 000,8 894 350,N/A,Onyx
270,Fichier:HINF Onyx General 3.png,Général 3 (General 3),250 000,9 069 350,N/A,Onyx
271,Fichier:HINF Hero.png,Héros (Hero),N/A,9 319 350,"Emblème Héros, Textures d'armures Campaign Season et Midway Emerald, Kits Infinite Mark VI",Onyx
