string_id;en;fr
0xC0AFE8F9;Rock Vault Overlook;Promontoire du coffre rocheux
0xC0CB72A5;Tunnel;Tunnel
0xC0D5A74D;Blue Sneaky;Coupe-gorge bleu
0xC0E59FD0;Dried Pillars;Piliers secs
0xC1192245;Tower Outside;Extérieur de tour
0xC177D49A;Camo Vent;Conduit camouflé
0xC209C90B;Bird Nest;Nid d’oiseau
0xC21D2B46;East Outside;Extérieur est
0xC3001CF5;Sub;Sous-marin
0xC3F87E92;Overgrown Diving Board;Plongeoir luxuriant
0xC49B2856;Overshield Staging;Mise en scène blindée
0xC53D390C;Frigate Interchange;Échangeur de la frégate
0xC55A5EB7;Hex Roof;Toit hexagonal
0xC56C106E;Clegg;Clegg
0xC5D70431;OHH NOOO;OOOH NOOON
0xC6BC6267;Eagle Bend;Virage Eagle
0xC6C72CFF;Rocky Pass;Col rocheux
0xC6DBEC7E;Radar Garage;Garage du radar
0xC6F20EE0;The Cut;La séparation
0xC753DDCD;North Tunnel;Tunnel nord
0xC78B0AE5;North Platform;Plateforme nord
0xC8201C79;Dried Platform;Plateforme sèche
0xC835D0BC;Hallway Drop;Couloir dénivelé
0xC83F5C8E;Outside;Extérieur
0xC935A854;Control Room 1;Salle de contrôle 1
0xC942D21A;Hex Vault Hike;Promenade du coffre hexagonal
0xC977819C;East Market Bridge;Pont du marché est
0xC97F7071;Cliffside Trail;Sentier de la falaise
0xC9E13F7F;Dried Long Hall;Long couloir sec
0xCABCABE2;Rock Archway;Voûte rocheuse
0xCB9DE182;North Stairs;Escaliers nord
0xCC95163A;West Tower;Tour ouest
0xCC991348;Market;Marché
0xCCBB8E07;What The?!?!;Qu'est-ce que...
0xCCF13C23;Tunnel Drop;Tunnel dénivelé
0xCD164BE0;West Yard;Cour ouest
0xCD20561C;Blue Base;Base bleue
0xCD4E9DDC;Yard Pillars;Piliers de cour
0xCD58D77A;Cobra Window;Fenêtre Cobra
0xCDA9E201;Station Tower 1;Tour du poste de police 1
0xCE34B62B;Overshield Deck;Pont blindé
0xCECE31C8;Nest;Nid
0xCF43083D;South Elbow;Coude sud
0xCFB43E1F;Oasis;Oasis
0xD05C29BE;Rampart;Rempart
0xD06B7F94;Camo Pocket;Poche camouflée
0xD075C1D9;Triple Sandwich jr;Triple Sandwich Jr
0xD0E50B00;East Ramp;Rampe est
0xD1755CCF;North Bunker;Bunker nord
0xD1885AB2;Sanctuary;Sanctuaire
0xD1C88F8D;Station Balcony;Balcon du poste de police
0xD20A369B;Blamite Tunnel;Tunnel de blamite
0xD2AED194;South Alley;Allée sud
0xD3FDD332;Bend;Virage
0xD47CED3D;Gold Back Room;Arrière-salle dorée
0xD52E7B8B;Cliff's Thinking Spot;Point de réflexion de la falaise
0xD5EC0B05;Platform;Plateforme
0xD6D6F13D;Dried Attic;Grenier sec
0xD6ED80C1;Big Rocks;Gros rochers
0xD6F189E0;Subway Bend;Virage de métro
0xD7447D9E;North Elbow;Coude nord
0xD7727330;South Track;Piste sud
0xD8FE773A;West Gate;Porte ouest
0xD991EDE0;North Street;Rue nord
0xD9D605DB;Dried Bottom Street;Bout de rue sèche
0xD9E444D4;Overshield Flank;Flanc blindé
0xD9FB95D3;Overgrown Mid;Milieu luxuriant
0xD9FF4E5C;Comms Tower;Tour de communication
0xDA57D876;South Courtyard;Grande cour sud
0xDA6F0312;Locker Room;Vestiaire
0xDA8A30CE;Lower Horseshoe;Fer à cheval inférieur
0xDBA89F78;Watchtower;Mirador
0xDBC987EE;South Nest;Nid sud
0xDBF379E0;Blue Utility;Utilitaire bleu
0xDCFDABCA;Tower Base;Base de la tour
0xDD28A839;Landing Pad;Aire d'atterrissage
0xDD405E09;Gold Short Cut;Raccourci d'or
0xDDB4E2CA;Overgrown Nest;Nid luxuriant
0xDDC45B1F;Overshield Nest;Nid blindé
0xDDDB531C;Weapon Platform;Plateforme d'armes
0xDDFDBA74;Flappy Flap;Envol
0xDE13D3D5;Overgrown Hut;Cabane luxuriante
0xDEFA6EF8;Camo Cannon;Canon camouflé
0xDEFC83FA;North Balcony;Balcon nord
0xDF51DC5D;Waterfall Base;Base de la cascade
0xDF6D6B78;Chasm;Précipice
0xDFC6F119;Overgrowth;Broussailles
0xE0156660;Library;Bibliothèque
0xE07C3C59;Green Tower;Tour verte
0xE0E445A4;West Bend;Virage ouest
0xE0F7E11C;Camo Window;Fenêtre camouflée
0xE0FD8D98;Dried Ramp;Rampe sèche
0xE1494FAF;Tower 3;Tour 3
0xE1DA81A8;South Lookout;Guet sud
0xE20A6A74;Cobalt Jungle;Jungle de cobalt
0xE245B9A2;Atrium;Atrium
0xE3007F14;Jungle;Jungle
0xE32DB67C;Overshield Short Bridge;Pont court blindé
0xE33C1767;Yellow Street;Rue jaune
0xE3561DA4;Green Building;Bâtiment vert
0xE39B2625;Green Basement;Sous-sol vert
0xE45D1F70;Gold;Or
0xE4A95F42;YEET;YEET
0xE4E9691B;South Rampart;Rempart sud
0xE5004C00;Tram;Tram
0xE50BCCA1;Yellow Window;Fenêtre jaune
0xE56092FE;Cave;Grotte
0xE56ACB1E;Load Zone;Zone de chargement
0xE5AC3DAC;Camo Ramp;Rampe camouflée
0xE602003C;North Lookout;Guet nord
0xE6507880;East Platform;Plateforme est
0xE65F6834;Cavern;Caverne
0xE70C23CC;Down River;En aval
0xE76A36E4;Refinery Frontage;Façade de la raffinerie
0xE7916508;Rock Archway Road;Route de la voûte rocheuse
0xE88B9D09;Blue Tower;Tour bleue
0xE8963B1D;Hallway;Couloir
0xE8FE21B8;North Nest;Nid nord
0xE9351F59;Sanctum;Sanctuaire
0xE941D002;Pick it up!;Collecte
0xE95D794C;High Temple;Haut temple
0xE9B1B9B3;Yellow Ramp;Rampe jaune
0xEAD02120;Camo Long Bridge;Long pont camouflé
0xEAFB8D89;Creek Bed;Lit du ruisseau
0xEB4D8AA5;Top Base;Base supérieure
0xEBA3445B;Hotel;Hôtel
0xEBE36681;South Ramp;Rampe sud
0xEC3DBFA5;Old Town Alley;Rue de vieille ville
0xECA6A608;East Street;Rue est
0xECDC28FB;North Cave;Grotte nord
0xECEA65CB;East Landing;Parvis est
0xED0D78C0;Cathedral;Cathédrale
0xEDD300BC;South Stairs;Escaliers sud
0xEDF5FC09;Storage;Réserve
0xEE21C1FB;Green Street;Rue verte
0xEE5FAE67;House Pillars;Piliers de maison
0xEE62BE20;Refinery Control;Contrôle de la raffinerie
0xEEBAD262;Tower;Tour
0xEEDC0432;Green Platform;Plateforme verte
0xEF02C6D4;Piston;Piston
0xEF3B5CD1;Eagle Tower;Tour Eagle
0xEF98E4B7;Southeast Garden;Jardin sud-est
0xEFF359A0;North Base;Base nord
0xF01AD1E5;Open Hall;Salle ouverte
0xF1249B80;Green Bend;Virage vert
0xF18CBE6B;South Tree House;Cabane sud
0xF1F1BDDC;South Bend;Coude sud
0xF2AD7360;Overlook;Promontoire
0xF3641AE1;Top Balcony;Balcon supérieur
0xF3697DC7;Hex Switchback;Route sinueuse hexagonale
0xF37953D2;Cobra Ramp;Rampe Cobra
0xF3DC414E;Tanks;Chars
0xF3F303D2;Camo Pit;Fosse camouflée
0xF407F943;Rocks;Rochers
0xF44BCADA;Cargo;Cargo
0xF44EFA5D;Long Hall;Longère
0xF4B420E6;Up River;En amont
0xF4BDAD29;Mohawk;Crête iroquoise
0xF50331D9;South Street;Rue sud
0xF5180B04;Whirlpool Ledge;Bord de siphon
0xF55661D3;Tower 2;Tour 2
0xF59BCB5B;Blue Pipes;Tuyaux bleus
0xF5F5D03D;Station Tower 2;Tour du poste de police 2
0xF69A77E5;Tower Base;Base de la tour
0xF6BC0577;East Tree House;Cabane est
0xF6EB6E82;South Base;Base sud
0xF6F70241;East Gate;Porte est
0xF7D5BA23;Green Drop;Dénivelé vert
0xF8078D17;Test Chamber;Salle de test
0xF836A2AB;Yellow Utility;Utilitaire jaune
0xF8A3269C;West Spawn;Point de réapparition ouest
0xF8DDAB0C;Subway Balcony;Balcon du métro
0xF8EE3758;Closet;Recoin
0xF9C49F0E;Rock Power Node;Nœud d'alimentation des rochers
0xFA62B65D;Overlook;Promontoire
0xFAA9026F;Hex Pocket;Poche hexagonale
0xFAC25659;Utility;Utilitaire
0xFAD97A46;Northeast Garden;Jardin nord-est
0xFB59D83A;Blue Platform;Plateforme bleue
0xFB87E8AC;Cross;Croix
0xFBEE4AC3;Camo Street;Rue camouflée
0xFBF9264B;North Window;Fenêtre nord
0xFBFC9206;Launch Tower;Tour de lancement
0xFC1B9C3B;Blamite Jump;Saut de blamite
0xFC68FE8F;Dip;Dépression
0xFC7C8DAD;We Love You Halo!;Halo, on t'aime !
0xFD0D1FFA;Overgrown Bat Ledge;Corniche de chauve-souris luxuriante
0xFD67B788;Dried Nest;Nid sec
0xFDDCEA3E;Ha Ha Get Wrecked!;Ha ha, dans ta tronche !
0xFDEDC0C4;North Edge;Côté nord
0xFE43F759;South Window;Fenêtre sud
0xFE76AB16;Stage;Scène
0xFE86E32B;Turbine Interchange;Échangeur de la turbine
0xFEA3C1CD;Hex Junction;Jonction hexagonale
0xFF0E8195;Processing;Traitement
0xFF8DDC54;South Bridge;Pont sud
0xFF90B02D;Overshield Cannon;Canon blindé
0xFFD3EB55;Cave Pass;Col de la grotte
